datetime,num_orders,day_of_week,hour,lag_2,lag_4,lag_6,lag_8,lag_10,lag_12,rolling_mean
2018-03-03 15:00:00,76,5,15,28.0,57.0,73.0,17.0,15.0,64.0,42.0
2018-03-03 16:00:00,46,5,16,41.0,32.0,52.0,56.0,9.0,44.0,46.8
2018-03-03 17:00:00,49,5,17,76.0,28.0,57.0,73.0,17.0,15.0,44.6
2018-03-03 18:00:00,68,5,18,46.0,41.0,32.0,52.0,56.0,9.0,48.0
2018-03-03 19:00:00,30,5,19,49.0,76.0,28.0,57.0,73.0,17.0,56.0
2018-03-03 20:00:00,83,5,20,68.0,46.0,41.0,32.0,52.0,56.0,53.8
2018-03-03 21:00:00,48,5,21,30.0,49.0,76.0,28.0,57.0,73.0,55.2
2018-03-03 22:00:00,63,5,22,83.0,68.0,46.0,41.0,32.0,52.0,55.6
2018-03-03 23:00:00,43,5,23,48.0,30.0,49.0,76.0,28.0,57.0,58.4
2018-03-04 00:00:00,75,6,0,63.0,83.0,68.0,46.0,41.0,32.0,53.4
2018-03-04 01:00:00,60,6,1,43.0,48.0,30.0,49.0,76.0,28.0,62.4
2018-03-04 02:00:00,26,6,2,75.0,63.0,83.0,68.0,46.0,41.0,57.8
2018-03-04 03:00:00,42,6,3,60.0,43.0,48.0,30.0,49.0,76.0,53.4
2018-03-04 04:00:00,27,6,4,26.0,75.0,63.0,83.0,68.0,46.0,49.2
2018-03-04 05:00:00,22,6,5,42.0,60.0,43.0,48.0,30.0,49.0,46.0
2018-03-04 06:00:00,11,6,6,27.0,26.0,75.0,63.0,83.0,68.0,35.4
2018-03-04 07:00:00,12,6,7,22.0,42.0,60.0,43.0,48.0,30.0,25.6
2018-03-04 08:00:00,39,6,8,11.0,27.0,26.0,75.0,63.0,83.0,22.8
2018-03-04 09:00:00,39,6,9,12.0,22.0,42.0,60.0,43.0,48.0,22.2
2018-03-04 10:00:00,19,6,10,39.0,11.0,27.0,26.0,75.0,63.0,24.6
2018-03-04 11:00:00,41,6,11,39.0,12.0,22.0,42.0,60.0,43.0,24.0
2018-03-04 12:00:00,30,6,12,19.0,39.0,11.0,27.0,26.0,75.0,30.0
2018-03-04 13:00:00,30,6,13,41.0,39.0,12.0,22.0,42.0,60.0,33.6
2018-03-04 14:00:00,56,6,14,30.0,19.0,39.0,11.0,27.0,26.0,31.8
2018-03-04 15:00:00,58,6,15,30.0,41.0,39.0,12.0,22.0,42.0,35.2
2018-03-04 16:00:00,64,6,16,56.0,30.0,19.0,39.0,11.0,27.0,43.0
2018-03-04 17:00:00,51,6,17,58.0,30.0,41.0,39.0,12.0,22.0,47.6
2018-03-04 18:00:00,80,6,18,64.0,56.0,30.0,19.0,39.0,11.0,51.8
2018-03-04 19:00:00,56,6,19,51.0,58.0,30.0,41.0,39.0,12.0,61.8
2018-03-04 20:00:00,77,6,20,80.0,64.0,56.0,30.0,19.0,39.0,61.8
2018-03-04 21:00:00,75,6,21,56.0,51.0,58.0,30.0,41.0,39.0,65.6
2018-03-04 22:00:00,83,6,22,77.0,80.0,64.0,56.0,30.0,19.0,67.8
2018-03-04 23:00:00,68,6,23,75.0,56.0,51.0,58.0,30.0,41.0,74.2
2018-03-05 00:00:00,86,0,0,83.0,77.0,80.0,64.0,56.0,30.0,71.8
2018-03-05 01:00:00,176,0,1,68.0,75.0,56.0,51.0,58.0,30.0,77.8
2018-03-05 02:00:00,32,0,2,86.0,83.0,77.0,80.0,64.0,56.0,97.6
2018-03-05 03:00:00,51,0,3,176.0,68.0,75.0,56.0,51.0,58.0,89.0
2018-03-05 04:00:00,34,0,4,32.0,86.0,83.0,77.0,80.0,64.0,82.6
2018-03-05 05:00:00,16,0,5,51.0,176.0,68.0,75.0,56.0,51.0,75.8
2018-03-05 06:00:00,3,0,6,34.0,32.0,86.0,83.0,77.0,80.0,61.8
2018-03-05 07:00:00,14,0,7,16.0,51.0,176.0,68.0,75.0,56.0,27.2
2018-03-05 08:00:00,31,0,8,3.0,34.0,32.0,86.0,83.0,77.0,23.6
2018-03-05 09:00:00,59,0,9,14.0,16.0,51.0,176.0,68.0,75.0,19.6
2018-03-05 10:00:00,50,0,10,31.0,3.0,34.0,32.0,86.0,83.0,24.6
2018-03-05 11:00:00,62,0,11,59.0,14.0,16.0,51.0,176.0,68.0,31.4
2018-03-05 12:00:00,85,0,12,50.0,31.0,3.0,34.0,32.0,86.0,43.2
2018-03-05 13:00:00,37,0,13,62.0,59.0,14.0,16.0,51.0,176.0,57.4
2018-03-05 14:00:00,58,0,14,85.0,50.0,31.0,3.0,34.0,32.0,58.6
2018-03-05 15:00:00,45,0,15,37.0,62.0,59.0,14.0,16.0,51.0,58.4
2018-03-05 16:00:00,59,0,16,58.0,85.0,50.0,31.0,3.0,34.0,57.4
2018-03-05 17:00:00,37,0,17,45.0,37.0,62.0,59.0,14.0,16.0,56.8
2018-03-05 18:00:00,86,0,18,59.0,58.0,85.0,50.0,31.0,3.0,47.2
2018-03-05 19:00:00,37,0,19,37.0,45.0,37.0,62.0,59.0,14.0,57.0
2018-03-05 20:00:00,40,0,20,86.0,59.0,58.0,85.0,50.0,31.0,52.8
2018-03-05 21:00:00,42,0,21,37.0,37.0,45.0,37.0,62.0,59.0,51.8
2018-03-05 22:00:00,72,0,22,40.0,86.0,59.0,58.0,85.0,50.0,48.4
2018-03-05 23:00:00,47,0,23,42.0,37.0,37.0,45.0,37.0,62.0,55.4
2018-03-06 00:00:00,42,1,0,72.0,40.0,86.0,59.0,58.0,85.0,47.6
2018-03-06 01:00:00,75,1,1,47.0,42.0,37.0,37.0,45.0,37.0,48.6
2018-03-06 02:00:00,36,1,2,42.0,72.0,40.0,86.0,59.0,58.0,55.6
2018-03-06 03:00:00,49,1,3,75.0,47.0,42.0,37.0,37.0,45.0,54.4
2018-03-06 04:00:00,30,1,4,36.0,42.0,72.0,40.0,86.0,59.0,49.8
2018-03-06 05:00:00,36,1,5,49.0,75.0,47.0,42.0,37.0,37.0,46.4
2018-03-06 06:00:00,7,1,6,30.0,36.0,42.0,72.0,40.0,86.0,45.2
2018-03-06 07:00:00,10,1,7,36.0,49.0,75.0,47.0,42.0,37.0,31.6
2018-03-06 08:00:00,25,1,8,7.0,30.0,36.0,42.0,72.0,40.0,26.4
2018-03-06 09:00:00,52,1,9,10.0,36.0,49.0,75.0,47.0,42.0,21.6
2018-03-06 10:00:00,51,1,10,25.0,7.0,30.0,36.0,42.0,72.0,26.0
2018-03-06 11:00:00,48,1,11,52.0,10.0,36.0,49.0,75.0,47.0,29.0
2018-03-06 12:00:00,41,1,12,51.0,25.0,7.0,30.0,36.0,42.0,37.2
2018-03-06 13:00:00,42,1,13,48.0,52.0,10.0,36.0,49.0,75.0,43.4
2018-03-06 14:00:00,40,1,14,41.0,51.0,25.0,7.0,30.0,36.0,46.8
2018-03-06 15:00:00,63,1,15,42.0,48.0,52.0,10.0,36.0,49.0,44.4
2018-03-06 16:00:00,42,1,16,40.0,41.0,51.0,25.0,7.0,30.0,46.8
2018-03-06 17:00:00,52,1,17,63.0,42.0,48.0,52.0,10.0,36.0,45.6
2018-03-06 18:00:00,51,1,18,42.0,40.0,41.0,51.0,25.0,7.0,47.8
2018-03-06 19:00:00,48,1,19,52.0,63.0,42.0,48.0,52.0,10.0,49.6
2018-03-06 20:00:00,83,1,20,51.0,42.0,40.0,41.0,51.0,25.0,51.2
2018-03-06 21:00:00,58,1,21,48.0,52.0,63.0,42.0,48.0,52.0,55.2
2018-03-06 22:00:00,81,1,22,83.0,51.0,42.0,40.0,41.0,51.0,58.4
2018-03-06 23:00:00,47,1,23,58.0,48.0,52.0,63.0,42.0,48.0,64.2
2018-03-07 00:00:00,100,2,0,81.0,83.0,51.0,42.0,40.0,41.0,63.4
2018-03-07 01:00:00,121,2,1,47.0,58.0,48.0,52.0,63.0,42.0,73.8
2018-03-07 02:00:00,24,2,2,100.0,81.0,83.0,51.0,42.0,40.0,81.4
2018-03-07 03:00:00,66,2,3,121.0,47.0,58.0,48.0,52.0,63.0,74.6
2018-03-07 04:00:00,73,2,4,24.0,100.0,81.0,83.0,51.0,42.0,71.6
2018-03-07 05:00:00,10,2,5,66.0,121.0,47.0,58.0,48.0,52.0,76.8
2018-03-07 06:00:00,19,2,6,73.0,24.0,100.0,81.0,83.0,51.0,58.8
2018-03-07 07:00:00,17,2,7,10.0,66.0,121.0,47.0,58.0,48.0,38.4
2018-03-07 08:00:00,38,2,8,19.0,73.0,24.0,100.0,81.0,83.0,37.0
2018-03-07 09:00:00,50,2,9,17.0,10.0,66.0,121.0,47.0,58.0,31.4
2018-03-07 10:00:00,34,2,10,38.0,19.0,73.0,24.0,100.0,81.0,26.8
2018-03-07 11:00:00,58,2,11,50.0,17.0,10.0,66.0,121.0,47.0,31.6
2018-03-07 12:00:00,34,2,12,34.0,38.0,19.0,73.0,24.0,100.0,39.4
2018-03-07 13:00:00,55,2,13,58.0,50.0,17.0,10.0,66.0,121.0,42.8
2018-03-07 14:00:00,43,2,14,34.0,34.0,38.0,19.0,73.0,24.0,46.2
2018-03-07 15:00:00,51,2,15,55.0,58.0,50.0,17.0,10.0,66.0,44.8
2018-03-07 16:00:00,46,2,16,43.0,34.0,34.0,38.0,19.0,73.0,48.2
2018-03-07 17:00:00,48,2,17,51.0,55.0,58.0,50.0,17.0,10.0,45.8
2018-03-07 18:00:00,99,2,18,46.0,43.0,34.0,34.0,38.0,19.0,48.6
2018-03-07 19:00:00,50,2,19,48.0,51.0,55.0,58.0,50.0,17.0,57.4
2018-03-07 20:00:00,76,2,20,99.0,46.0,43.0,34.0,34.0,38.0,58.8
2018-03-07 21:00:00,108,2,21,50.0,48.0,51.0,55.0,58.0,50.0,63.8
2018-03-07 22:00:00,127,2,22,76.0,99.0,46.0,43.0,34.0,34.0,76.2
2018-03-07 23:00:00,94,2,23,108.0,50.0,48.0,51.0,55.0,58.0,92.0
2018-03-08 00:00:00,143,3,0,127.0,76.0,99.0,46.0,43.0,34.0,91.0
2018-03-08 01:00:00,78,3,1,94.0,108.0,50.0,48.0,51.0,55.0,109.6
2018-03-08 02:00:00,65,3,2,143.0,127.0,76.0,99.0,46.0,43.0,110.0
2018-03-08 03:00:00,68,3,3,78.0,94.0,108.0,50.0,48.0,51.0,101.4
2018-03-08 04:00:00,60,3,4,65.0,143.0,127.0,76.0,99.0,46.0,89.6
2018-03-08 05:00:00,6,3,5,68.0,78.0,94.0,108.0,50.0,48.0,82.8
2018-03-08 06:00:00,6,3,6,60.0,65.0,143.0,127.0,76.0,99.0,55.4
2018-03-08 07:00:00,19,3,7,6.0,68.0,78.0,94.0,108.0,50.0,41.0
2018-03-08 08:00:00,77,3,8,6.0,60.0,65.0,143.0,127.0,76.0,31.8
2018-03-08 09:00:00,97,3,9,19.0,6.0,68.0,78.0,94.0,108.0,33.6
2018-03-08 10:00:00,68,3,10,77.0,6.0,60.0,65.0,143.0,127.0,41.0
2018-03-08 11:00:00,80,3,11,97.0,19.0,6.0,68.0,78.0,94.0,53.4
2018-03-08 12:00:00,48,3,12,68.0,77.0,6.0,60.0,65.0,143.0,68.2
2018-03-08 13:00:00,47,3,13,80.0,97.0,19.0,6.0,68.0,78.0,74.0
2018-03-08 14:00:00,62,3,14,48.0,68.0,77.0,6.0,60.0,65.0,68.0
2018-03-08 15:00:00,78,3,15,47.0,80.0,97.0,19.0,6.0,68.0,61.0
2018-03-08 16:00:00,96,3,16,62.0,48.0,68.0,77.0,6.0,60.0,63.0
2018-03-08 17:00:00,41,3,17,78.0,47.0,80.0,97.0,19.0,6.0,66.2
2018-03-08 18:00:00,81,3,18,96.0,62.0,48.0,68.0,77.0,6.0,64.8
2018-03-08 19:00:00,72,3,19,41.0,78.0,47.0,80.0,97.0,19.0,71.6
2018-03-08 20:00:00,114,3,20,81.0,96.0,62.0,48.0,68.0,77.0,73.6
2018-03-08 21:00:00,86,3,21,72.0,41.0,78.0,47.0,80.0,97.0,80.8
2018-03-08 22:00:00,88,3,22,114.0,81.0,96.0,62.0,48.0,68.0,78.8
2018-03-08 23:00:00,79,3,23,86.0,72.0,41.0,78.0,47.0,80.0,88.2
2018-03-09 00:00:00,84,4,0,88.0,114.0,81.0,96.0,62.0,48.0,87.8
2018-03-09 01:00:00,66,4,1,79.0,86.0,72.0,41.0,78.0,47.0,90.2
2018-03-09 02:00:00,29,4,2,84.0,88.0,114.0,81.0,96.0,62.0,80.6
2018-03-09 03:00:00,31,4,3,66.0,79.0,86.0,72.0,41.0,78.0,69.2
2018-03-09 04:00:00,30,4,4,29.0,84.0,88.0,114.0,81.0,96.0,57.8
2018-03-09 05:00:00,1,4,5,31.0,66.0,79.0,86.0,72.0,41.0,48.0
2018-03-09 06:00:00,4,4,6,30.0,29.0,84.0,88.0,114.0,81.0,31.4
2018-03-09 07:00:00,16,4,7,1.0,31.0,66.0,79.0,86.0,72.0,19.0
2018-03-09 08:00:00,36,4,8,4.0,30.0,29.0,84.0,88.0,114.0,16.4
2018-03-09 09:00:00,43,4,9,16.0,1.0,31.0,66.0,79.0,86.0,17.4
2018-03-09 10:00:00,43,4,10,36.0,4.0,30.0,29.0,84.0,88.0,20.0
2018-03-09 11:00:00,49,4,11,43.0,16.0,1.0,31.0,66.0,79.0,28.4
2018-03-09 12:00:00,24,4,12,43.0,36.0,4.0,30.0,29.0,84.0,37.4
2018-03-09 13:00:00,48,4,13,49.0,43.0,16.0,1.0,31.0,66.0,39.0
2018-03-09 14:00:00,55,4,14,24.0,43.0,36.0,4.0,30.0,29.0,41.4
2018-03-09 15:00:00,44,4,15,48.0,49.0,43.0,16.0,1.0,31.0,43.8
2018-03-09 16:00:00,59,4,16,55.0,24.0,43.0,36.0,4.0,30.0,44.0
2018-03-09 17:00:00,66,4,17,44.0,48.0,49.0,43.0,16.0,1.0,46.0
2018-03-09 18:00:00,39,4,18,59.0,55.0,24.0,43.0,36.0,4.0,54.4
2018-03-09 19:00:00,48,4,19,66.0,44.0,48.0,49.0,43.0,16.0,52.6
2018-03-09 20:00:00,60,4,20,39.0,59.0,55.0,24.0,43.0,36.0,51.2
2018-03-09 21:00:00,70,4,21,48.0,66.0,44.0,48.0,49.0,43.0,54.4
2018-03-09 22:00:00,82,4,22,60.0,39.0,59.0,55.0,24.0,43.0,56.6
2018-03-09 23:00:00,49,4,23,70.0,48.0,66.0,44.0,48.0,49.0,59.8
2018-03-10 00:00:00,117,5,0,82.0,60.0,39.0,59.0,55.0,24.0,61.8
2018-03-10 01:00:00,78,5,1,49.0,70.0,48.0,66.0,44.0,48.0,75.6
2018-03-10 02:00:00,24,5,2,117.0,82.0,60.0,39.0,59.0,55.0,79.2
2018-03-10 03:00:00,44,5,3,78.0,49.0,70.0,48.0,66.0,44.0,70.0
2018-03-10 04:00:00,46,5,4,24.0,117.0,82.0,60.0,39.0,59.0,62.4
2018-03-10 05:00:00,12,5,5,44.0,78.0,49.0,70.0,48.0,66.0,61.8
2018-03-10 06:00:00,5,5,6,46.0,24.0,117.0,82.0,60.0,39.0,40.8
2018-03-10 07:00:00,18,5,7,12.0,44.0,78.0,49.0,70.0,48.0,26.2
2018-03-10 08:00:00,46,5,8,5.0,46.0,24.0,117.0,82.0,60.0,25.0
2018-03-10 09:00:00,43,5,9,18.0,12.0,44.0,78.0,49.0,70.0,25.4
2018-03-10 10:00:00,48,5,10,46.0,5.0,46.0,24.0,117.0,82.0,24.8
2018-03-10 11:00:00,58,5,11,43.0,18.0,12.0,44.0,78.0,49.0,32.0
2018-03-10 12:00:00,34,5,12,48.0,46.0,5.0,46.0,24.0,117.0,42.6
2018-03-10 13:00:00,47,5,13,58.0,43.0,18.0,12.0,44.0,78.0,45.8
2018-03-10 14:00:00,37,5,14,34.0,48.0,46.0,5.0,46.0,24.0,46.0
2018-03-10 15:00:00,93,5,15,47.0,58.0,43.0,18.0,12.0,44.0,44.8
2018-03-10 16:00:00,53,5,16,37.0,34.0,48.0,46.0,5.0,46.0,53.8
2018-03-10 17:00:00,60,5,17,93.0,47.0,58.0,43.0,18.0,12.0,52.8
2018-03-10 18:00:00,102,5,18,53.0,37.0,34.0,48.0,46.0,5.0,58.0
2018-03-10 19:00:00,33,5,19,60.0,93.0,47.0,58.0,43.0,18.0,69.0
2018-03-10 20:00:00,54,5,20,102.0,53.0,37.0,34.0,48.0,46.0,68.2
2018-03-10 21:00:00,62,5,21,33.0,60.0,93.0,47.0,58.0,43.0,60.4
2018-03-10 22:00:00,80,5,22,54.0,102.0,53.0,37.0,34.0,48.0,62.2
2018-03-10 23:00:00,73,5,23,62.0,33.0,60.0,93.0,47.0,58.0,66.2
2018-03-11 00:00:00,81,6,0,80.0,54.0,102.0,53.0,37.0,34.0,60.4
2018-03-11 01:00:00,83,6,1,73.0,62.0,33.0,60.0,93.0,47.0,70.0
2018-03-11 02:00:00,36,6,2,81.0,80.0,54.0,102.0,53.0,37.0,75.8
2018-03-11 03:00:00,49,6,3,83.0,73.0,62.0,33.0,60.0,93.0,70.6
2018-03-11 04:00:00,30,6,4,36.0,81.0,80.0,54.0,102.0,53.0,64.4
2018-03-11 05:00:00,11,6,5,49.0,83.0,73.0,62.0,33.0,60.0,55.8
2018-03-11 06:00:00,16,6,6,30.0,36.0,81.0,80.0,54.0,102.0,41.8
2018-03-11 07:00:00,14,6,7,11.0,49.0,83.0,73.0,62.0,33.0,28.4
2018-03-11 08:00:00,43,6,8,16.0,30.0,36.0,81.0,80.0,54.0,24.0
2018-03-11 09:00:00,66,6,9,14.0,11.0,49.0,83.0,73.0,62.0,22.8
2018-03-11 10:00:00,56,6,10,43.0,16.0,30.0,36.0,81.0,80.0,30.0
2018-03-11 11:00:00,51,6,11,66.0,14.0,11.0,49.0,83.0,73.0,39.0
2018-03-11 12:00:00,50,6,12,56.0,43.0,16.0,30.0,36.0,81.0,46.0
2018-03-11 13:00:00,80,6,13,51.0,66.0,14.0,11.0,49.0,83.0,53.2
2018-03-11 14:00:00,72,6,14,50.0,56.0,43.0,16.0,30.0,36.0,60.6
2018-03-11 15:00:00,60,6,15,80.0,51.0,66.0,14.0,11.0,49.0,61.8
2018-03-11 16:00:00,93,6,16,72.0,50.0,56.0,43.0,16.0,30.0,62.6
2018-03-11 17:00:00,78,6,17,60.0,80.0,51.0,66.0,14.0,11.0,71.0
2018-03-11 18:00:00,107,6,18,93.0,72.0,50.0,56.0,43.0,16.0,76.6
2018-03-11 19:00:00,99,6,19,78.0,60.0,80.0,51.0,66.0,14.0,82.0
2018-03-11 20:00:00,99,6,20,107.0,93.0,72.0,50.0,56.0,43.0,87.4
2018-03-11 21:00:00,119,6,21,99.0,78.0,60.0,80.0,51.0,66.0,95.2
2018-03-11 22:00:00,89,6,22,99.0,107.0,93.0,72.0,50.0,56.0,100.4
2018-03-11 23:00:00,118,6,23,119.0,99.0,78.0,60.0,80.0,51.0,102.6
2018-03-12 00:00:00,102,0,0,89.0,99.0,107.0,93.0,72.0,50.0,104.8
2018-03-12 01:00:00,153,0,1,118.0,119.0,99.0,78.0,60.0,80.0,105.4
2018-03-12 02:00:00,57,0,2,102.0,89.0,99.0,107.0,93.0,72.0,116.2
2018-03-12 03:00:00,51,0,3,153.0,118.0,119.0,99.0,78.0,60.0,103.8
2018-03-12 04:00:00,49,0,4,57.0,102.0,89.0,99.0,107.0,93.0,96.2
2018-03-12 05:00:00,31,0,5,51.0,153.0,118.0,119.0,99.0,78.0,82.4
2018-03-12 06:00:00,15,0,6,49.0,57.0,102.0,89.0,99.0,107.0,68.2
2018-03-12 07:00:00,19,0,7,31.0,51.0,153.0,118.0,119.0,99.0,40.6
2018-03-12 08:00:00,75,0,8,15.0,49.0,57.0,102.0,89.0,99.0,33.0
2018-03-12 09:00:00,105,0,9,19.0,31.0,51.0,153.0,118.0,119.0,37.8
2018-03-12 10:00:00,83,0,10,75.0,15.0,49.0,57.0,102.0,89.0,49.0
2018-03-12 11:00:00,84,0,11,105.0,19.0,31.0,51.0,153.0,118.0,59.4
2018-03-12 12:00:00,45,0,12,83.0,75.0,15.0,49.0,57.0,102.0,73.2
2018-03-12 13:00:00,64,0,13,84.0,105.0,19.0,31.0,51.0,153.0,78.4
2018-03-12 14:00:00,58,0,14,45.0,83.0,75.0,15.0,49.0,57.0,76.2
2018-03-12 15:00:00,73,0,15,64.0,84.0,105.0,19.0,31.0,51.0,66.8
2018-03-12 16:00:00,61,0,16,58.0,45.0,83.0,75.0,15.0,49.0,64.8
2018-03-12 17:00:00,94,0,17,73.0,64.0,84.0,105.0,19.0,31.0,60.2
2018-03-12 18:00:00,107,0,18,61.0,58.0,45.0,83.0,75.0,15.0,70.0
2018-03-12 19:00:00,45,0,19,94.0,73.0,64.0,84.0,105.0,19.0,78.6
2018-03-12 20:00:00,46,0,20,107.0,61.0,58.0,45.0,83.0,75.0,76.0
2018-03-12 21:00:00,81,0,21,45.0,94.0,73.0,64.0,84.0,105.0,70.6
2018-03-12 22:00:00,67,0,22,46.0,107.0,61.0,58.0,45.0,83.0,74.6
2018-03-12 23:00:00,57,0,23,81.0,45.0,94.0,73.0,64.0,84.0,69.2
2018-03-13 00:00:00,91,1,0,67.0,46.0,107.0,61.0,58.0,45.0,59.2
2018-03-13 01:00:00,88,1,1,57.0,81.0,45.0,94.0,73.0,64.0,68.4
2018-03-13 02:00:00,58,1,2,91.0,67.0,46.0,107.0,61.0,58.0,76.8
2018-03-13 03:00:00,63,1,3,88.0,57.0,81.0,45.0,94.0,73.0,72.2
2018-03-13 04:00:00,42,1,4,58.0,91.0,67.0,46.0,107.0,61.0,71.4
2018-03-13 05:00:00,17,1,5,63.0,88.0,57.0,81.0,45.0,94.0,68.4
2018-03-13 06:00:00,15,1,6,42.0,58.0,91.0,67.0,46.0,107.0,53.6
2018-03-13 07:00:00,20,1,7,17.0,63.0,88.0,57.0,81.0,45.0,39.0
2018-03-13 08:00:00,57,1,8,15.0,42.0,58.0,91.0,67.0,46.0,31.4
2018-03-13 09:00:00,44,1,9,20.0,17.0,63.0,88.0,57.0,81.0,30.2
2018-03-13 10:00:00,53,1,10,57.0,15.0,42.0,58.0,91.0,67.0,30.6
2018-03-13 11:00:00,75,1,11,44.0,20.0,17.0,63.0,88.0,57.0,37.8
2018-03-13 12:00:00,34,1,12,53.0,57.0,15.0,42.0,58.0,91.0,49.8
2018-03-13 13:00:00,40,1,13,75.0,44.0,20.0,17.0,63.0,88.0,52.6
2018-03-13 14:00:00,50,1,14,34.0,53.0,57.0,15.0,42.0,58.0,49.2
2018-03-13 15:00:00,69,1,15,40.0,75.0,44.0,20.0,17.0,63.0,50.4
2018-03-13 16:00:00,64,1,16,50.0,34.0,53.0,57.0,15.0,42.0,53.6
2018-03-13 17:00:00,35,1,17,69.0,40.0,75.0,44.0,20.0,17.0,51.4
2018-03-13 18:00:00,109,1,18,64.0,50.0,34.0,53.0,57.0,15.0,51.6
